"X","Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM","Mean_CORR","High_Corr_Count"
36,"581_fri_c3_500_25",500,26,"S1",1,0.946623514833774,0.0430857084019566,0.058943114756414,450.634555019124,0.893756879095108,20,1765.18699999998,"sin_deg(sigmoid(1+(1+(x1+x1))))","sin_deg(x1)","sigmoid(sigmoid(x2))",1,1,1,0.0546327574308692,2
37,"582_fri_c1_500_25",500,26,"S1",1,0.989967917995231,0.0226168951366002,0.0287710202732243,657.039219520635,0.979175287865175,11,1206.62100000001,"sin_deg(x2*x1)","x3","x5",1,1,1,0.0402194801995182,1
38,"583_fri_c1_1000_50",1000,51,"S1",1,0.984184820871154,0.0290490747341173,0.0365685282423776,1163.8798085946,0.968271642929402,18,2697.09400000001,"cos_deg(x3)","troot(cos_deg(x2*x1))","x1*(x2*x2)",1,1,1,0.0267338277895624,1
39,"584_fri_c4_500_25",500,26,"S1",1,0.987406368258344,0.0215176443385178,0.0277546924479676,631.39190885585,0.97495068940844,14,1064.451,"cos_deg(x1*x2)*cos_deg(x1*x2)","sin_deg(x1*x2)*cos_deg(x1*x2)","cos_deg(sin_deg(x3))",1,1,1,0.0553081310437619,2
40,"586_fri_c3_1000_25",1000,26,"S1",1,0.877893955186812,0.0546647667882572,0.0736154126408958,732.647987419468,0.769921632866089,16,1883.04200000002,"sin_deg(x2)","cos_deg(sigmoid(x2)*sigmoid(x2))","cos_deg(x2)",1,1,1,0.0404609164216473,2
41,"588_fri_c4_1000_100",1000,101,"S1",1,0.978001969815265,0.0235888202644205,0.0338472600804798,1490.38382925292,0.955842952840598,15,3062.91500000001,"sin_deg(x3)","sigmoid(1+sin_deg(x4))","sigmoid(x5)",1,1,1,0.0263662518022845,2
42,"589_fri_c2_1000_25",1000,26,"S1",1,0.842384234328648,0.0799356309163319,0.110636574203368,625.551184474326,0.704958352098163,12,1922.72099999999,"x4","x5","x3",1,1,0.999999986498446,0.0348767166122119,1
43,"590_fri_c0_1000_50",1000,51,"S1",1,0.974785196393359,0.0341180367405288,0.0434017702528683,1362.41223835682,0.947671822151274,7,1475.622,"x5","sin_deg(x1*x2)","x4*cos_deg(x1)",1,1,1,0.0250759678270012,0
44,"591_fri_c1_100_10",100,11,"S1",1,0.834228348657868,0.0977435146893161,0.130141419663403,29.8981656977939,0.678245967546507,11,487.479000000021,"x4","sigmoid(x2)","sin_deg(x2)",0.999714029239145,0.997918346605111,0.996462460618604,0.100477215451482,1
45,"592_fri_c4_1000_25",1000,26,"S1",1,0.985766163255845,0.0236783484021104,0.0296669300500225,1367.08826921318,0.971525028708542,17,2590.277,"x3","((x1*x2)*x2)*sin_deg(1+sin_deg((x1*x2)*x2))","sigmoid((x1*x2)*x2)",1,1,1,0.0481237920902837,2
46,"593_fri_c1_1000_10",1000,11,"S1",1,0.889939178722294,0.0582728085361723,0.0908882156113933,797.611876310988,0.78879804095804,14,2396.94999999998,"x3*x3","x5","((x3*x2)*x2)*x2",1,1,1,0.054043094964599,1
47,"594_fri_c2_100_5",100,6,"S1",1,0.861838405935737,0.0869241812620161,0.118052305309282,10.9929910791926,0.692836220128645,8,479.149000000005,"sin_deg(x2)","sigmoid(x2)","x3",0.998789479039218,0.998789400150505,0.996431497247708,0.312844707699979,1
