"Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM","Mean_CORR","High_Corr_Count"
"1096_FacultySalaries",50,5,"S3",9,0.963956810461615,0.0543496461905172,0.067449719438842,35.8090770091085,0.82090542526985,4,535.866,"x2","x4","x3",0.717399855067353,0.668585195754356,0.656372251053455,0.543057953672732,3
"192_vineyard",52,3,"S3",9,0.851691947113656,0.0842688586891928,0.102933683320336,28.1710989518406,0.707522618711891,5,494.342999999999,"troot(x1)","x1","x1",0.751904422507721,0.508499223219712,0.508499223219712,0.722479253020938,0
"197_cpu_act",8192,22,"S3",9,0.991245533221988,0.0183716400869794,0.024800340336756,13617.605818865,0.982546450017789,21,19665.745,"x21*x17","troot(sigmoid(x21))","troot(x5)",1,1,1,0.239802137947572,8
"210_cloud",108,6,"S3",9,0.870830538951227,0.0596664080447103,0.0971978727641014,127.685187518815,0.754869501062359,5,613.614999999998,"x3","x5","x4",0.999999997577904,0.595484218585925,0.571702620021621,0.295149673934701,1
"225_puma8NH",8192,9,"S3",9,0.819659104861777,0.103443043891377,0.13228142941319,3382.33041451442,0.671779315057266,10,10472.2,"x2*(troot(sin_deg(troot(cos_deg(x3))))*sigmoid(p0(x2*(x3*x3))))","x2","sigmoid(x3)",1,1,1,0.00673705326593091,0
"227_cpu_small",8192,13,"S3",9,0.985219906631771,0.023865548536365,0.0321568989127542,12272.3137256957,0.970656168955458,16,15014.494,"x1","x3","troot(x12)",1,1,1,0.230519031072177,1
"228_elusage",55,3,"S3",9,0.891073781167287,0.08698049980561,0.105144609655604,24.9636869308589,0.786814903832488,3,482.531000000003,"x1","cos_deg(x1)","x2",0.999999838715324,0.81997042159065,0.157580130107628,0.247939285177505,0
"229_pwLinear",200,11,"S3",9,0.948606895538231,0.0495755290947667,0.0610520214427541,157.497897786781,0.898342734536985,11,728.574000000008,"x2","x3","x1",1,1,0.999999999999994,0.0590043406393893,0
"230_machine_cpu",209,7,"S3",9,0.980101031552875,0.0257238801512007,0.0506820146000697,281.38752814534,0.893003495390532,7,644.804000000004,"x4","x6*x2","x6",0.999999999999984,0.999999999998671,0.951347466814076,0.460526636911951,0
"294_satellite_image",6435,37,"S3",9,0.898877993590219,0.123034496868874,0.163047892664175,1790.62538846677,0.80778858251548,29,12077.817,"x11","sigmoid(x11)","x21",1,1,1,0.495801038234992,174
"4544_GeographicalOriginalofMusic",1059,118,"S3",9,0.886916773914383,0.0451605319858269,0.0595315015815268,1045.71079538509,0.785965267578421,51,3169.416,"x42","x100","x102",1,0.999999999999994,0.999999999398716,0.263397249089202,988
"485_analcatdata_vehicle",48,5,"S3",9,0.732300301246369,0.154595497868117,0.203396427924397,15.2705741528403,0.494202970106885,5,442.601999999999,"x1","x3","x1",0.674735428466816,0.660030782945295,0.657330353937706,0,0
"503_wind",6574,15,"S3",9,0.891581427072358,0.0574220204314869,0.0762899145722137,5771.24454389037,0.792813130614481,16,9486.734,"x10","x2","x14",1,1,1,0.487403396146681,28
"505_tecator",240,125,"S3",9,0.998364666889163,0.0101249422821505,0.0144752222887798,547.049277463432,0.996365046942923,37,1146.647,"x123","x124","x51",1,1,0.999999999985497,0.78566953131616,5883
"519_vinnie",380,3,"S3",9,0.864307474542243,0.0864951627003222,0.104347245871156,241.995769788343,0.738248477675586,2,459.966,"x2","x2",NA,0.664957028850305,0.664956990822132,NA,0.127748304527852,0
"522_pm10",500,8,"S3",9,0.512352753907619,0.136838239779243,0.176212787508737,128.210594924523,0.248514239365787,3,506.755000000005,"x3","x3*x1","x1",0.999557424487131,0.730710716737363,0.311314642071344,0.159611851945435,0
"523_analcatdata_neavote",100,3,"S3",9,0.98490436709553,0.0520341711640302,0.0747203258758827,56.2820682265895,0.969931296873747,4,396.888999999996,"p0(x1)","x1","x1",0.679143634986778,0.427063609541709,0.427063609541707,0.174165595143352,0
"527_analcatdata_election2000",67,15,"S3",9,1,3.58934695691083e-17,6.58177906594667e-17,1808.81227719942,1,10,429.814999999988,"x4","x3","x6",1,1,1,0.563604691194534,31
"529_pollen",3848,5,"S3",9,0.887923869510312,0.0498599802655081,0.0630412587405904,3906.70203448874,0.788342363982301,8,2690.84,"x4","x3","x2",1,0.706896551723912,0.67241379310352,0.279639616167561,1
"542_pollution",60,16,"S3",9,0.75083171480439,0.0839530757288294,0.119471113668712,27.0167153193698,0.520700315413253,8,412,"x9","x6","x2",0.999992257741882,0.995568709595748,0.980596921282623,0.259989261744639,1
"547_no2",500,8,"S3",9,0.674602725721885,0.0870126384412094,0.11255294982845,321.622895176224,0.451521949220786,12,1016.086,"x2","x4*x2","x4",0.995490193230729,0.960951951437373,0.850687204843833,0.156166637111891,0
