"Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",14,0.842112898785026,3.31271431858228,6.21304729723415,-966.174966702215,0.618996665810349,16,4892.12,"x9*x6","x9*x13","x11",1,1,0.999999999999999
"S2",14,0.891998241184949,2.87619758395486,4.55406579123479,-967.476983094379,0.795299898649146,17,5059.792,"x10*x6","x10*p0(x13)","x6",1,1,1
"S3",14,0.835728708634382,3.37267684271125,6.39031623286251,-979.411861906172,0.596945144463367,17,5692.115,"x10","x10*x13","x10*sigmoid(x13)",0.999999999999999,0.999999999999734,0.999999999998387
"S4",14,0.810673383096004,3.62637879143866,7.3109144185459,-964.123757479143,0.472450935825291,19,4404.502,"p3(x6)*x10","x1*sigmoid(x13)","x11",1,1,0.999999999999999
"S5",14,0.869844326695703,2.94618022617805,5.10366834001239,-982.038905473847,0.742910496749591,13,3928.838,"x9*p3(x6)","p3(x6)","x13*x9",1,0.999999999909273,0.999999999821153
"S6",14,0.823827901672694,3.53985976656535,6.90286028715692,-964.670441646027,0.529697135820033,12,3562.253,"x6*x6","x1","x11",1,1,1
"S1",15,0.824755386715442,3.53546266194608,6.62705420768065,-979.923473567179,0.566528545703757,17,4973.92,"x1*exp_dbl(x13)","x13*x6","x6*x11",1,1,0.999999992786635
"S2",15,0.848830324290971,3.25350030897505,5.92733432290684,-965.959563234002,0.653232566477611,16,5083.646,"x1*exp_dbl(x13)","x11","p3(x6)",1,0.999999999999469,0.999999222252212
"S3",15,0.815751041558113,3.63707959253726,7.49929237891496,-959.734151744379,0.444914313391579,18,5982.885,"x11","x1*sigmoid(x13)","x6*x6",1,1,1
"S4",15,0.894878896526788,2.86086812373622,4.4960319575355,-965.340886928853,0.800483767286136,16,4545.307,"x6*x10","p0(x13)*x10","x9",1,1,0.999999999999452
"S5",15,0.828054469165491,3.44315171183437,6.68885974772009,-973.78275331472,0.558405519719201,19,4163.761,"p3(x6)","x5*x1","sigmoid(x13)*(x5*x1)",1,1,1
"S6",15,0.805261197747732,3.72221599075568,7.1265843990411,-976.876664801621,0.498717755191483,10,3671.194,"(x5*x6)*(x11*p3(x6))","x6","x1",1,1,1
"S1",16,0.839784466942653,3.36393521462092,6.60979277986602,-956.745714646633,0.56878372316189,22,5315.211,"x10*x6","sigmoid(x13)*x1","x1",1,1,1
"S2",16,0.817925716471192,3.66306941628598,6.73080910316679,-972.746224905987,0.552849208694175,15,4789.277,"exp_dbl(x13)*x1","x11*x5","x13",1,1,1
"S3",16,0.658218353561894,5.14507552828414,17.8089955101139,-973.59304249788,-2.13038897710974,24,5538.205,"p3(x6)*sigmoid(x8*x13)","x12","x9*x13",1,0.999999999999983,0.999999999669025
"S4",16,0.894297705963429,2.869538960893,4.52324041159141,-974.852578549634,0.798061651916567,16,3917.077,"x9*p3(x6)","x9*p0(x13)","x9",1,1,1
"S5",16,0.870551699786893,3.01537039148608,5.16322553128152,-974.898746021234,0.736875281866925,15,4080.883,"x9","x11*(x5*(x10*x13))","p3(x6)*x9",1,1,1
"S6",16,0.819071988517292,3.59546069277826,6.86649251732771,-967.840512560446,0.53463966969225,14,3645.499,"x6*x10","x10","x13*x10",1,1,1
"S1",17,0.894844039388633,2.85306080101725,4.49682078264517,-965.340886928853,0.800413751226627,21,4941.052,"x10*p0(x13)","x10*x6","x1",1,1,1
"S2",17,0.814806494763276,3.65252827334155,6.92802265262429,-975.955998531936,0.526262182588523,16,5133.321,"x6*x9","exp_dbl(x13)*x1","x11",1,1,0.999999999999999
