"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"S4",7,0.82863673854874,3.46206916227873,6.52326294701822,1844.35,"x11","(exp_dbl(x13)*x5)*x1","p3(x6)","x10*p3(x6)","x7"
"S5",7,0.877425686948232,3.01099697930371,4.85287591767001,1542.096,"x10","(troot(x6)*troot(x13))*x10","x6","x10*x6","troot(x11)"
"S6",7,0.769991195272858,4.02297262528689,8.3447978826797,1415.154,"x1","sigmoid(x13)*x1","(x6*x6)*x10","x10","x11"
"S1",8,0.870509332988126,3.10999107266461,5.15353818330151,2028.494,"x6*x9","x6*x6","troot(x13)*x9","x11","sigmoid(x13)"
"S2",8,0.89684509205707,2.82976804863888,4.45527579613444,2153.142,"p3(x6*x6)*x9","p0(x13)*x9","x13*x9","x6","x1"
"S3",8,0.888989646448335,2.94529248476018,4.63861741711188,1581.238,"x6","x6*(x5*x11)","x5*x11","troot(x1*(x10*exp_dbl(x13)))","x8"
"S4",8,0.875531126988568,3.04723947329453,4.89071921523058,2075.412,"p3(x6)","x6*x9","p0(p0(x13))","(x13*x5)*p3(x9)","x8"
"S5",8,0.886118182767792,2.91481177729474,4.67366444470599,1522.726,"x9","x6*x9","p3(x6)","x11","p0(x13)"
"S6",8,0.883182133121068,2.9253016884926,4.7922934626976,1484.493,"p3(x6)","x9*p3(x6)","p0(x13)*x9","x1","x10"
"S1",9,0.806740503664795,3.76702442822689,7.02842570181373,1698.899,"x1*exp_dbl(x13)","x10*troot(x6)","x10","x6","x1"
"S2",9,0.886226053034482,2.93730220150722,4.67193350978736,1753.306,"p3(x6)","x6*x9","x9","x9*x13","troot(x13)"
"S3",9,0.890015981118125,2.93540919846787,4.60873419855292,1762.775,"p3(x6)","x8","p0(x13)*x9","x9*(x6*x6)","x12"
"S4",9,0.811946819266293,3.68128298632777,7.04416313784339,1802.169,"x1","x1*sigmoid(x13)","x11","x5*x6","x6"
"S5",9,0.788395421886597,4.00005729296761,8.11908075468211,1647.023,"x9","x10*x13","p0(x6)*x9","x11","x1"
"S6",9,0.881823825034071,2.75430098809448,4.77447428692661,1531.33,"x11","x9*p3(x6)","p3(x6)","x9*x13","x1"
"S1",10,0.753470060641285,4.14076020596896,9.62886628546394,1855.638,"x11*x6","x13","exp_dbl(x13*x8)","x1","(x11*x13)*x6"
"S2",10,0.879977303640929,3.14533860938189,4.79252736355148,1828.323,"x9*p0(x13*x6)","x9","x11*x6","x8","x11"
"S3",10,0.894164531489623,2.8004857994677,4.51214429602753,1710.869,"p0(x13*(x6*x11))*x10","p3(x6)","p3(x6)*x10","x9","x13"
"S4",10,0.864983683723592,3.06970830368089,5.19227513008216,1622.734,"x9*exp_dbl(x13)","x13*x10","x6","x10","x10*x6"
"S5",10,0.886131987401082,2.89324300231583,4.67525539833052,1724.016,"p0(p0(x13))*x10","(p3(x6)*x11)*x10","p3(x6)","x8","x9"
"S6",10,0.893407019809837,2.90222238448808,4.52263996015263,1501.853,"x9*p0(x6*p0(x13))","x11","x9","p3(x6)","p3(x6)*(x10*p3(x6))"
"S1",11,0.871684655773259,3.08228218738584,4.94684562043935,1874.53,"x6*x6","x10","x10*p0(x13)","(x6*x6)*x10","x9"
"S2",11,0.899107171005945,2.79242373698093,4.411391813226,1961.193,"p0(x13)*x9","x6","p0(x6)","x6*(x6*x9)","x6*x9"
"S3",11,0.832940781489242,3.55528049227227,6.21373317553901,1751.478,"x13","x6","sigmoid(sigmoid(x13)*x13)*x1","x11*x5","x8"
"S4",11,0.86582490145774,3.15348781275231,5.27003106324637,1834.852,"sigmoid(x13)*x9","x9*x6","x11","x6","troot(x6)"
"S5",11,0.81845969260721,3.66591923332716,6.83181700248216,1369.762,"x1*sigmoid(x13)","p0(x13)","(x5*x10)*x6","x5*x10","x9"
"S6",11,0.894718763005061,2.85212813800703,4.49940354119274,1483.475,"x6","x10","p0(x13)*x10","x9","x6*x10"
"S1",12,0.831706542958161,3.49518752711449,6.73666790379742,1776.947,"x10*x6","x10*x13","x11","x1*exp_dbl(x13)","x9"
"S2",12,0.822404638089721,3.53815655378579,7.14759736409606,2012.757,"x1","x6*x10","sigmoid(x13)*x1","x6*x6","x10*x13"
"S3",12,0.815688016184752,3.72564636960369,7.51662334629444,1739.895,"x1","x10*x6","x6","sigmoid(x13)*x1","(x13*x9)*x6"
"S4",12,0.831022942789649,3.45408843695838,6.55037826787846,1768.562,"x1*sigmoid(x13)","x9*x13","x6*x9","x7","x8"
"S5",12,0.879439608085673,2.87049357566125,4.79912303722049,1526.668,"troot(x6)","x6","troot(x10)*(x6*x6)","x10*x13","x11"
"S6",12,0.880665655427194,3.05647222937106,4.7748948803261,1504.719,"x13*x9","x11","p0(x13)","x6","x6*x9"
"S1",13,0.805966713691564,3.80109908566642,6.93410987703214,1789.865,"x1*exp_dbl(x13)","x6*x10","x1","x6*x6","x12"
"S2",13,0.850015202706079,3.25951727468616,6.14418627993305,1964.283,"exp_dbl(x13)*x1","x13*x10","x6","x10*x6","x11"
"S3",13,0.885958865079527,2.76914370602761,4.71636256822242,2049.578,"x10*x6","x10","x11","x13*(exp_dbl(x13)*x9)","x13*x10"
"S4",13,0.815139845334388,3.68210198908733,7.55048973426732,1685.989,"x6","x10*x6","x1*sigmoid(x13)","x13*(x10*x6)","x9"
"S5",13,0.872032066692576,3.11444090118949,5.14408694422373,1576.154,"x9*x13","x11","x9*p3(x6)","p3(x6)","sigmoid(x13)"
"S6",13,0.887400244397453,2.86918568823503,4.64344236127652,1556.046,"x6","x10","x11","x10*x6","x8"
